"Page","Issue","Fixed? ","Retested","","","","","","","","","","","","","","","","","","","","","",""
"Part before the admin or customer + general :-)","When you click forgot your password, it does nothing.","X","","","","","","","","","","","","","","","","","","","","","","",""
"","When you click on register here because you don't have an account, but then remember/find your information if you click the back to home button it sends you to the literal front page of the website not where you started.","X","","","","","","","","","","","","","","","","","","","","","","",""
"","As you fill in the terms and conditions for registration it should allow you to see the full terms and conditions","X","","","","","","","","","","","","","","","","","","","","","","",""
"","Why is their two X's when you click on the chat icon on the bottom right corner","X","","","","","","","","","","","","","","","","","","","","","","",""
"Customer","As you scroll down in the "learn from the experts" section the photo of the video is either funky looking or not their.","X","","","","","","","","","","","","","","","","","","","","","","",""
"","When you get to family account section click manage all go to billing and then click add payment method it wont work","X","","","","","","","","","","","","","","","","","","","","","","",""
"","When you go to select your time for book a court and you select a certain time it should match up. For example 2 hours should let you select 2 hours not one, same with all the rest.","X","","","","","","","","","","","","","","","","","","","","","","",""
"","When you go to schedule a class there is two all level buttons and the color for the other junior one is changed. Also when you click join class when you havent even took an assement yet it says your level is advanced.","X","","","","","","","","","","","","","","","","","","","","","","",""
"","There should be a home button on the top to the left of Videos. As Well as a "our staff" section to the right of schedule a class.","X","","","","","","","","","","","","","","","","","","","","","","",""
"","In the our staff section below the why train with us, there should be learn more links underneath each one to get a more in depth explanation, also maybe the indoor courts one could have another link to the schedule a class or book a court.","X","","","","","","","","","","","","","","","","","","","","","","",""
"","Going back to the home screen if you click book a court you should be able to cancel your reservation.","X","","","","","","","","","","","","","","","","","","","","","","",""
"","Scroll down from the book a court, and the calendar does not match up with the courts you booked at all","X","","","","","","","","","","","","","","","","","","","","","","",""
"Admin Account (*-*)","Not sure if you need the chat message on the bottom right","X","","","","","","","","","","","","","","","","","","","","","","",""
"","When you go to the admin account and try to change your setting, but don't change anything and click save changes nothing happens.","X","","","","","","","","","","","","","","","","","","","","","","",""
"","Also I don't think there's supposed to be a billing method for an admin.","X","","","","","","","","","","","","","","","","","","","","","","",""
"","Moving over to users section, when you click on the skill level of the people on the bottom, it simply won't allow you to change their skill level, also if you book a court it and you click on view there is no way to approve the request for the court. Also it would be nice if it were in a b c d order to make easier for the admin.","X","","","","","","","","","","","","","","","","","","","","","","",""
"","The Schedule management has so many problems, first the Classes should not have the past classes on it. Second when you go to change the price of the class when you try to make a new one and you try to delete the 35 it comes back same with the number of kids? The month date and calendar thing are completely broken","X","","","","","","","","","","","","","","","","","","","","","","",""
"","For the block section their should be a date for the block. Also you can put multiple of the same blocks over and over.","X","","","","","","","","","","","","","","","","","","","","","","",""
"","In the calender section when it gives you the week overview, it is wrong.","X","","","","","","","","","","","","","","","","","","","","","","",""
"","When you get a message it doest not let you respond to the message.","X","","","","","","","","","","","","","","","","","","","","","","",""
"","They already are staff so the staff section might be not needed, but deffitnetly get rid of the ""Why train with us""","X","","","","","","","","","","","","","","","","","","","","","","",""